-142.082325 -19.82906
-141.200744	-18.942895
-140.306168	-18.069857
-139.395892	-17.213212
-138.467401	-16.376357
-137.518431	-15.562811
-136.547013	-14.776205
-135.550976	-14.021043
-134.531842	-13.297338
-133.492584	-12.602826
-132.435936	-11.935054
-131.364401	-11.291429
-130.28026	-10.669261
-129.185597	-10.065788
-128.082325	-9.478195
-126.969953	-8.908029
-125.847713	-8.357535
-124.716781	-7.825118
-123.578258	-7.309131
-122.433164	-6.807887
-121.282453	-6.319671
-120.127016	-5.842745
-118.967687	-5.375356
-117.805255	-4.915736
-116.64047	-4.462108
-115.474056	-4.012684
-114.306718	-3.56567
-113.136801	-3.125463
-111.962685	-2.696581
-110.784859	-2.277992
-109.603786	-1.86865
-108.419905	-1.467502
-107.23363	-1.073485
-106.045358	-0.685532
-104.855468	-0.302572
-103.664323	0.076471
-102.472278	0.452675
-101.27968	0.827122
-100.086466	1.199595
-98.891491	1.56638
-97.694024	1.924938
-96.493408	2.272801
-95.289054	2.607481
-94.080452	2.926472
-92.868244	3.231505
-91.653679	3.52701
-90.436736	3.81256
-89.217396	4.087695
-87.995653	4.351954
-86.771513	4.604875
-85.544994	4.845992
-84.316134	5.074886
-83.085505	5.29408
-81.85354	5.505642
-80.620382	5.710138
-79.386165	5.908137
-78.151011	6.100211
-76.915036	6.286931
-75.678348	6.468872
-74.44105	6.646608
-73.203234	6.820715
-71.964993	6.991769
-70.726413	7.160345
-69.487575	7.327021
-68.248559	7.492372
-67.009444	7.656977
-65.770307	7.821411
-64.531223	7.986251
-63.292271	8.152076
-62.053529	8.319462
-60.815078	8.488987
-59.577002	8.661228
-58.339388	8.836763
-57.1022	9.015229
-55.864612	9.191082
-54.626447	9.363316
-53.38768	9.53193
-52.148296	9.696923
-50.908281	9.858293
-49.667626	10.016038
-48.426325	10.170154
-47.184378	10.320639
-45.941786	10.467487
-44.698554	10.610693
-43.454691	10.75025
-42.210207	10.88615
-40.965117	11.018385
-39.719436	11.146947
-38.473184	11.271823
-37.226382	11.393003
-35.979052	11.510475
-34.731216	11.624226
-33.482902	11.734243
-32.234137	11.840511
-30.984952	11.943015
-29.735375	12.041741
-28.485438	12.136673
-27.235174	12.227794
-25.984613	12.31509
-24.733789	12.398545
-23.482735	12.478144
-22.23148	12.553872
-20.980063	12.625713
-19.728514	12.693656
-18.476868	12.757686
-17.225156	12.817792
-15.973409	12.873965
-14.721656	12.926195
-13.469927	12.974476
-12.218247	13.018802
-10.966642	13.059171
-9.715136	13.095582
-8.463752	13.128038
-7.212508	13.156542
-5.961418	13.181105
-4.710495	13.201736
-3.459748	13.21845
-2.209181	13.231266
-0.958796	13.240205
0.291411	13.245293
1.541449	13.246561
2.791331	13.244042
4.041076	13.237775
5.290708	13.227801
6.540258	13.214168
7.789738	13.196926
9.070876	13.177335
10.32073	13.158296
11.570584	13.139331
12.82044	13.120438
14.070296	13.101617
15.320154	13.082868
16.570013	13.064189
17.819872	13.045579
19.069733	13.027038
20.319595	13.008565
21.569458	12.990159
22.819322	12.97182
24.069186	12.953546
25.319052	12.935337
26.568919	12.917192
27.818786	12.89911
29.068691	12.883843
30.318652	12.874135
31.568644	12.869959
32.818642	12.871272
34.068623	12.878013
35.318563	12.890105
36.568442	12.907452
37.818239	12.929945
39.067935	12.957456
40.317515	12.989844
41.566964	13.026951
42.816269	13.068603
44.065422	13.114616
45.314415	13.164789
46.563242	13.218909
47.811903	13.276751
49.060398	13.338077
50.30873	13.402641
51.556904	13.470185
52.804928	13.540441
54.052813	13.613134
55.300571	13.687982
56.548215	13.764694
57.795762	13.842976
59.043228	13.922527
60.290633	14.003043
61.537995	14.084218
62.785334	14.165742
64.03267	14.247306
65.280025	14.328599
66.527416	14.409314
67.774865	14.489143
69.022389	14.567782
70.270007	14.644931
71.517733	14.720294
72.765583	14.793583
74.013569	14.864514
75.261702	14.932813
76.509991	14.998211
77.75844	15.060451
79.007055	15.119287
80.255836	15.17448
81.504782	15.225806
82.753889	15.273051
84.00315	15.316017
85.252557	15.354516
86.502098	15.388375
87.75176	15.417439
89.001527	15.441564
90.251381	15.460623
91.501304	15.474506
92.751274	15.483118
94.001269	15.486382
95.251267	15.484238
96.501243	15.47664
97.751175	15.463564
99.001215	15.44775
100.251115	15.431955
101.501014	15.416175
102.750914	15.400411
104.000815	15.38466
105.250715	15.368923
106.500615	15.353199
107.750516	15.337487
109.000417	15.321785
110.250318	15.306094
111.500219	15.290412
112.75012	15.274739
114.000021	15.259073
115.249923	15.243415
116.499824	15.227762
117.749726	15.212115
118.999627	15.196473
120.249529	15.180834
121.499431	15.165199
122.749332	15.149565
123.999236	15.133933
125.249138	15.118302
126.49904	15.10267
127.74894	15.087037
128.998841	15.071402
130.248743	15.055765
131.498645	15.040124
132.748546	15.024479
133.998448	15.008829
135.248349	14.993173
136.49825	14.97751
137.748152	14.96184
138.998053	14.946161
140.247954	14.930474
141.497854	14.914776
142.747755	14.899068
143.997656	14.883348
145.247556	14.867617
146.497457	14.851871
147.747357	14.836113
148.997257	14.820339
150.247156	14.80455
151.497056	14.788744
152.746955	14.772922
153.996854	14.757081
155.246753	14.741222
156.496652	14.725343
157.74655	14.709444
158.996448	14.693524
160.246346	14.677581
161.496243	14.661616
162.74614	14.645628
163.996037	14.629615
165.245934	14.613577
166.49583	14.597513
167.745726	14.581422
168.995621	14.565304
170.245516	14.549157
171.495411	14.532982
172.745306	14.516776
173.9952	14.500539
175.245093	14.484271
176.494986	14.46797
177.744879	14.451637
178.994771	14.435269
180.244663	14.418866
